日付,リクエストNo,曲名,歌手名,総合得点,素点,ボーナス点,Ai感性,チャート合計,音程,安定性,表現力,リズム,ビブラート&ロングトーン,抑揚,しゃくり,こぶし,フォール,ロングトーン,ビブラート,ビブラート秒数,ビブラート回数,ビブラートタイプ,アクセント,ハンマリング,エッジボイス,ヒーカップ,Ai加点,Ai減点,キー,最高音（音域）,最低音（音域）,最高音（声域）,最低音（声域）
2024/02/13 14:56:56,7126-46,"明日への手紙","手嶌 葵",90.756,89.821,0.935,63,412,83,73,68,97,91,99,11,1,0,8,7,7.5,22,A-1,0,0,0,0,65,19,0,hiD,mid2A,mid2D,mid2A
2024/02/13 15:08:08,6236-59,"友  ～旅立ちの時～","ゆず",85.282,84.433,0.849,54,402,76,73,66,99,88,98,20,1,0,8,5,4.6,17,A-1,0,0,0,0,58,32,0,hiA,mid1C,mid2G,mid1C
2024/02/13 15:18:05,7377-10,"ともに","WANIMA",84.942,84.093,0.849,54,380,77,83,56,94,70,72,11,2,0,8,0,1.4,4,D,0,0,0,0,55,3,0,hiC#,mid1F,hiB,mid1F
2024/02/13 15:26:07,2975-03,"シングルベッド","シャ乱Q",88.369,87.385,0.984,68,390,81,58,66,99,86,85,38,5,2,6,7,6.8,19,D,0,0,0,0,71,13,0,mid2G,mid1C,mid2G,mid1C
2024/02/13 15:37:09,5862-44,"冬と春","back number",82.015,81.154,0.861,56,389,72,72,65,98,82,94,28,0,0,5,6,3.7,11,D,0,0,0,0,56,1,0,hiA#,mid1A#,mid2G#,mid1A#
2024/02/13 15:47:02,5860-98,"ヒロイン","back number",87.004,86.148,0.856,55,403,79,76,64,99,85,91,14,4,0,6,6,4.8,14,G,0,0,0,0,55,2,0,hiB,mid1D,mid2G,mid1D
2024/02/13 15:56:16,5870-11,"花束","back number",86.261,85.376,0.885,58,384,79,66,64,98,77,86,28,0,0,4,5,3.5,13,D,0,0,0,0,61,19,0,hiC,mid1A,mid2E,mid1A
2024/02/13 16:06:14,5859-50,"恋 (プロオケ)(生音)","back number",86.502,85.418,1.084,59,401,78,77,64,96,86,88,35,1,0,7,6,3.6,9,D,0,0,0,0,59,0,0,mid2F#,mid1E,mid2F#,mid1E
2024/02/13 16:15:04,5860-81,"高嶺の花子さん","back number",87.220,86.323,0.897,55,404,79,80,63,98,84,86,13,2,0,8,4,1.8,6,E,0,0,0,0,57,21,0,hiD,mid1E,mid2G#,mid1E
2024/02/13 16:25:20,5859-66,"オールドファッション","back number",85.491,84.625,0.866,56,376,78,77,63,99,59,88,21,2,0,6,0,0.9,1,D,0,0,0,0,57,7,0,hiB,mid1C#,mid2F,mid1C#
2024/02/13 16:34:56,5859-43,"ハッピーエンド","back number",85.968,84.990,0.978,57,404,77,79,64,99,85,86,20,1,0,7,5,3.5,8,D,0,0,0,0,60,41,0,hiA,mid1C#,mid2F#,mid1C#
2024/02/13 16:45:09,5859-16,"手紙","back number",88.714,87.501,1.213,57,404,82,75,63,98,86,83,16,1,0,7,5,5.1,17,A-1,0,0,0,0,62,41,0,hiC,mid1D,mid2C,mid1D
2024/02/13 16:53:51,5860-25,"わたがし","back number",87.655,86.790,0.865,56,406,79,81,63,94,89,83,13,1,0,8,5,6.9,21,D,0,0,0,0,58,32,0,hiC,mid1E,mid2C,mid1E
2024/02/13 17:03:44,5859-61,"大不正解","back number",87.525,86.027,1.498,58,395,81,80,62,92,80,83,11,8,0,8,3,2.3,9,B-2,0,0,0,0,58,0,0,mid2G#,mid1C,mid2G,mid1C
2024/02/13 18:18:19,7621-54,"脳漿炸裂ガール","れるりり feat.初音ミク&GUMI",85.332,84.532,0.800,50,377,82,75,58,80,82,85,1,0,0,9,0,0.9,1,E,0,0,0,0,50,0,0,hiD#,mid2C,hiA#,mid2C
2024/02/13 18:26:22,7628-73,"聖槍爆裂ボーイ","れるりり/もじゃ feat.鏡音レン",86.063,85.233,0.830,53,376,79,65,61,93,78,89,5,6,0,5,5,4.3,12,A-1,0,0,0,0,53,0,0,hiD#,mid2A,mid2E,mid2A
2024/02/13 18:34:46,5859-61,"大不正解","back number",87.760,86.920,0.840,54,372,83,51,57,99,82,76,11,6,0,6,5,2.7,7,G,0,0,0,0,54,6,0,mid2G#,mid1C,mid2G,mid1C
2024/02/13 18:43:55,5859-26,"僕は君の事が好きだけど君は僕を別に好きじゃないみたい","back number",90.766,89.932,0.834,53,406,86,74,60,96,90,83,16,4,0,8,6,4.5,14,A-1,0,0,0,0,53,1,0,hiA#,mid1F,mid2A#,mid1F
2024/02/13 18:53:28,5862-16,"エメラルド","back number",88.149,87.325,0.824,52,398,81,72,63,99,83,95,8,7,0,6,5,7.6,25,A-1,0,0,0,0,52,0,0,hiB,mid1E,mid2B,mid1E
2024/02/13 19:02:09,5862-31,"アイラブユー","back number",88.899,88.075,0.824,52,402,83,78,54,97,90,74,10,0,0,8,6,8.1,23,A-1,0,0,0,0,53,16,0,hiA#,lowG#,mid2A#,lowG#
2024/02/13 19:11:40,5859-57,"瞬き","back number",88.304,87.470,0.834,53,399,82,75,57,99,86,76,9,3,0,8,5,12.2,44,A-1,0,0,0,0,54,16,0,hiC,mid1F,mid2C,mid1F
2024/02/13 19:23:43,5950-29,"光るなら(生音)","Goose house",90.563,89.722,0.841,54,415,83,82,62,99,89,88,7,4,0,9,5,6.4,23,A-1,0,0,0,0,54,0,0,hiF,mid1G#,mid2E,mid1G#
2024/02/13 19:33:27,5978-38,"青春アミーゴ","修二と彰",85.645,84.823,0.822,52,393,77,74,56,98,88,77,8,2,0,8,5,4.1,14,A-1,0,0,0,0,52,4,0,hiA#,mid1F#,mid2G#,mid1F#
2024/02/13 19:47:23,3345-50,"星座になれたら(生音)","結束バンド",90.148,89.310,0.838,53,396,84,63,63,98,88,94,11,3,0,7,6,8.8,25,D,0,0,0,0,54,4,0,hiC#,mid1G#,mid2C#,mid1G#
2024/02/13 19:57:22,3345-40,"ギターと孤独と蒼い惑星(生音)","結束バンド",87.920,87.063,0.857,55,403,80,78,65,97,83,96,18,6,0,7,5,2.2,8,G,0,0,0,0,56,3,0,hiD#,mid1E,hiA#,mid1E
2024/02/13 20:06:43,7281-90,"115万キロのフィルム","Official髭男dism",88.501,87.652,0.849,54,400,83,76,57,99,85,74,17,5,0,7,5,9.3,28,D,0,0,0,0,55,2,0,hiC,mid1A#,mid2C,mid1A#
2024/02/13 20:17:40,7281-29,"ノーダウト","Official髭男dism",84.073,83.261,0.812,51,352,78,80,19,91,84,26,8,2,0,7,5,2.3,8,G,0,0,0,0,51,0,0,hiC#,mid2A,mid2C#,mid2A
2024/02/13 20:26:09,6223-44,"イエスタデイ","Official髭男dism",87.793,86.963,0.830,53,407,79,82,63,99,84,90,20,0,0,8,4,3.0,11,D,0,0,0,0,54,18,0,hiD#,mid1D#,mid2C#,mid1D#
2024/02/13 20:36:17,5476-97,"晩餐歌","tuki.",86.158,85.348,0.810,51,345,81,53,28,91,92,37,11,2,0,9,6,1.9,5,D,0,0,0,0,51,0,0,hiF#,mid1G#,mid2F,mid1G#
2024/02/13 20:45:58,5485-73,"サクラキミワタシ","tuki.",74.178,73.350,0.828,52,313,67,68,3,98,77,0,3,0,0,8,0,0.0,0,N,0,0,0,0,52,0,0,hiD,mid1G,mid2F#,mid1G
2024/02/13 20:53:24,6167-17,"サウダージ","ポルノグラフィティ",89.382,88.547,0.835,53,399,84,74,59,96,86,84,2,3,0,8,5,5.4,18,D,0,0,0,0,53,4,0,mid2G#,mid2B,mid2E,mid2E
2024/02/13 21:02:45,7081-05,"セプテンバーさん","RADWIMPS",87.542,86.734,0.808,50,388,82,65,55,99,87,76,12,3,1,9,4,2.9,10,D,0,0,0,0,50,1,0,hiA,mid1A,mid2G,mid1A
2024/02/13 21:20:35,5950-29,"光るなら(生音)","Goose house",89.548,88.699,0.849,54,414,82,82,58,99,93,75,15,4,0,9,7,9.7,26,A-1,0,0,0,0,56,13,0,hiF,mid1G#,mid2D,mid1G#
2024/02/13 21:36:41,5860-25,"わたがし","back number",85.965,85.104,0.861,56,392,77,73,57,95,90,74,11,5,0,8,6,5.0,15,A-1,0,0,0,0,56,6,0,hiC,mid1E,mid2E,mid1E
2024/02/13 21:46:40,5860-25,"わたがし","back number",86.540,85.718,0.822,52,395,78,75,61,94,87,82,8,9,0,8,5,3.4,12,D,0,0,0,0,55,43,0,hiC,mid1E,mid2D,mid1E
2024/02/13 21:55:55,5860-25,"わたがし","back number",87.346,86.523,0.823,52,394,81,76,55,95,87,73,7,6,0,8,5,3.7,13,E,0,0,0,0,52,5,0,hiC,mid1E,mid2E,mid1E
2024/02/13 22:04:49,5860-25,"わたがし","back number",89.097,88.286,0.811,51,396,83,70,59,95,89,80,7,1,0,7,6,6.2,17,D,0,0,0,0,53,38,0,hiC,mid1E,mid2D,mid1E
2024/02/13 22:14:24,5860-25,"わたがし","back number",88.915,88.073,0.842,54,383,83,61,59,93,87,80,8,5,0,8,6,7.8,25,A-1,0,0,0,0,55,17,0,hiC,mid1E,mid2C,mid1E
2024/02/13 22:23:09,5860-25,"わたがし","back number",88.459,86.964,1.495,52,394,81,75,58,90,90,81,6,6,0,8,6,6.5,19,D,0,0,0,0,54,21,0,hiC,mid1E,mid2D,mid1E
2024/02/13 22:40:02,2437-29,"花になって","緑黄色社会",88.350,87.542,0.808,50,394,83,75,63,96,77,98,4,4,0,5,4,3.1,14,A-1,0,0,0,0,51,7,0,hiD#,mid2A,mid2D#,mid2A
2024/02/13 22:48:12,2437-29,"花になって","緑黄色社会",87.366,86.546,0.820,52,389,82,68,59,99,81,84,12,5,0,6,5,2.5,8,A-1,0,0,0,0,52,3,0,hiD#,mid2A,mid2D#,mid2A
2024/02/13 22:57:10,2437-29,"花になって","緑黄色社会",87.217,86.400,0.817,51,388,81,73,59,99,76,85,5,5,0,6,3,2.1,8,B-1,0,0,0,0,51,1,0,hiD#,mid2A,mid2D#,mid2A
2024/02/13 23:06:11,2437-29,"花になって","緑黄色社会",88.996,88.188,0.808,50,403,84,78,59,99,83,85,2,4,0,6,5,1.9,6,D,0,0,0,0,50,0,0,hiD#,mid2A,mid2D,mid2A
2024/02/13 23:15:08,2437-29,"花になって","緑黄色社会",88.511,87.674,0.837,53,399,83,76,58,99,83,78,8,6,0,7,4,3.3,11,A-1,0,0,0,0,55,14,0,hiD#,mid2A,mid2F,mid2A
2024/02/13 23:23:30,2437-29,"花になって","緑黄色社会",89.186,88.379,0.807,50,407,83,79,57,99,89,78,6,1,0,8,6,3.1,10,A-1,0,0,0,0,50,1,0,hiD#,mid2A,mid2G,mid2A
2024/02/13 23:37:10,5859-16,"手紙","back number",87.054,86.243,0.811,51,360,83,66,28,95,88,37,6,2,0,8,6,11.5,37,D,0,0,0,0,51,2,0,hiC,mid1D,mid2C,mid1D
2024/02/13 23:46:55,5859-16,"手紙","back number",86.192,85.371,0.821,52,371,80,54,51,99,87,67,8,3,0,7,6,9.8,31,D,0,0,0,0,53,12,0,hiC,mid1D,mid2C,mid1D
2024/02/13 23:57:29,5859-61,"大不正解","back number",87.583,86.750,0.833,53,386,82,71,58,94,81,79,8,8,0,6,5,2.3,6,A-1,0,0,0,0,53,0,0,mid2G#,mid1C,mid2F,mid1C
2024/02/14 00:06:56,5859-61,"大不正解","back number",86.439,85.581,0.858,55,375,82,61,54,98,80,67,12,6,0,6,4,5.4,18,A-1,0,0,0,0,55,2,0,mid2G#,mid1C,mid1G#,mid1C
2024/02/14 04:02:33,5477-81,"マジで感謝!(アニメオープニングVer.)","T-Pistonz+KMC",89.161,88.346,0.815,51,408,81,84,57,93,93,80,2,4,0,9,6,2.4,5,A-1,0,0,0,0,51,1,0,hiB,mid2A,mid2A,mid2A
2024/02/14 04:09:02,5950-29,"光るなら(生音)","Goose house",88.260,87.396,0.864,56,396,81,66,63,99,87,83,15,9,0,7,6,6.7,21,A-1,0,0,0,0,57,8,0,hiF,mid1G#,mid2E,mid1G#
2024/02/26 19:59:02,5860-25,"わたがし","back number",86.061,85.234,0.827,52,353,81,58,27,99,88,35,7,5,0,7,6,8.9,27,G,0,0,0,0,52,0,0,hiC,mid1E,mid2G,mid1E
2024/02/26 20:19:43,7621-54,"脳漿炸裂ガール","れるりり feat.初音ミク&GUMI",85.727,84.923,0.804,50,371,83,72,54,77,85,75,1,1,0,7,5,2.0,5,G,0,0,0,0,51,15,0,hiD#,mid2C,mid2F,mid2C
2024/02/26 20:37:32,7628-73,"聖槍爆裂ボーイ","れるりり/もじゃ feat.鏡音レン",86.877,86.044,0.833,53,380,81,64,54,96,85,73,8,3,0,6,6,3.1,7,A-1,0,0,0,0,53,0,0,hiD#,mid2A,mid2G,mid2A
2024/02/26 21:04:55,3345-40,"ギターと孤独と蒼い惑星(生音)","結束バンド",81.736,80.876,0.860,56,360,74,75,57,97,57,72,17,7,0,6,0,1.5,4,E,0,0,0,0,57,10,0,hiD#,mid1E,hiB,mid1E
2024/02/26 21:23:10,5859-30,"僕は君の事が好きだけど君は僕を別に好きじゃないみたい(生音)","back number",86.985,86.148,0.837,53,391,81,78,57,98,77,74,18,2,0,4,4,3.3,11,A-1,0,0,0,0,54,8,0,hiA#,mid1F,mid2A#,mid1F
2024/02/26 21:36:44,2437-29,"花になって","緑黄色社会",86.694,85.843,0.851,55,394,80,77,59,98,80,78,18,3,0,6,5,3.7,12,D,0,0,0,0,55,0,0,hiD#,mid2A,mid2F,mid2A
2024/02/26 21:54:32,5859-18,"手紙(生音)","back number",87.156,86.304,0.852,55,375,81,57,54,95,88,67,22,1,0,7,6,6.6,18,E,0,0,0,0,55,0,0,hiC,mid1D,mid2C,mid1D
2024/02/27 03:09:58,7081-05,"セプテンバーさん","RADWIMPS",89.013,88.118,0.895,59,386,83,56,67,96,84,93,12,15,2,9,4,1.9,6,D,0,0,0,0,66,45,0,hiA,mid1A,mid2G,mid1A
2024/02/27 03:33:15,5847-34,"RPG","SEKAI NO OWARI(世界の終わり)",87.606,86.095,1.511,70,397,78,56,78,99,86,90,20,16,0,8,5,2.4,7,D,0,0,0,0,77,33,0,hiA,mid1C#,hiA,mid1C#
2024/02/27 03:55:27,1309-52,"Subtitle","Official髭男dism",78.789,77.925,0.864,56,375,72,81,60,85,77,82,6,3,0,8,0,1.2,3,G,0,0,0,0,62,34,0,hiC#,mid1C#,hiA#,mid1C#
2024/02/27 03:57:51,1309-52,"Subtitle","Official髭男dism",84.644,84.644,0.000,58,389,81,71,58,98,81,79,6,6,0,9,0,1.3,4,D,0,0,0,0,69,80,0,hiC#,mid1C#,hiB,mid1C#
2024/06/28 15:30:44,6028-82,"感情","wacci",88.586,87.648,0.938,63,391,84,66,62,98,81,71,30,8,0,6,5,5.1,17,D,0,0,0,0,64,13,-2,mid2E,mid1B,mid2E,mid1B
2024/06/28 15:40:48,1329-28,"恋だろ(生音)","wacci",89.667,88.749,0.918,61,394,83,58,63,98,92,75,26,4,0,9,7,6.3,16,E,0,0,0,0,66,35,1,mid2G,mid1C,mid2G,mid1C
2024/06/28 16:16:14,4037-18,"チェリー(生音)","スピッツ",90.571,89.651,0.920,62,403,86,69,66,98,84,88,25,1,1,7,5,7.5,25,G,0,0,0,0,62,5,-2,mid2G#,mid1C,mid2G#,mid1C
2024/06/28 16:23:06,5859-26,"僕は君の事が好きだけど君は僕を別に好きじゃないみたい","back number",87.564,86.680,0.884,58,398,80,71,63,99,85,79,33,4,1,8,4,2.0,7,E,0,0,0,0,62,23,0,hiA#,mid1F,hiA#,mid1F
2024/06/28 16:30:50,6052-97,"さよならエレジー","菅田将暉",88.119,86.364,1.755,56,376,83,61,58,88,86,71,11,7,0,9,4,1.7,7,D,0,0,0,0,58,11,-3,mid2F,mid1A#,mid2D#,mid1C
2024/06/28 16:36:37,6179-71,"別の人の彼女になったよ","wacci",88.053,87.157,0.896,59,394,81,65,64,99,85,77,32,2,0,7,6,5.8,16,B-1,0,0,0,0,64,31,-2,mid2E,lowG,mid2E,lowG
2024/06/28 16:42:52,7281-90,"115万キロのフィルム","Official髭男dism",88.042,87.115,0.927,62,390,83,67,63,98,79,74,30,9,0,5,5,6.8,26,A-1,0,0,0,0,66,20,4,hiE,mid1D,hiA,mid1D
2024/06/28 17:27:49,7243-32,"大阪LOVER","DREAMS COME TRUE",83.941,83.087,0.854,55,391,75,76,60,99,81,74,8,1,0,6,5,1.9,5,G,0,0,0,0,56,9,0,hiD,mid2C#,hiA#,mid2D
2024/06/28 17:33:13,1104-68,"シグナル(生音)","WANIMA",91.778,90.880,0.898,59,419,85,86,58,98,92,66,22,3,0,9,6,4.0,10,A-1,0,0,0,0,63,24,0,hiC#,mid1G#,hiC,mid1G#
2024/06/28 17:37:28,5950-29,"光るなら(生音)","Goose house",90.109,89.260,0.849,54,408,84,78,60,98,88,72,14,4,0,8,5,5.5,19,A-1,0,0,0,0,57,27,0,hiF,mid1G#,hiB,mid1G#
2024/06/28 17:42:40,1104-88,"GONG","WANIMA",88.687,87.793,0.894,59,391,84,65,60,99,83,71,18,1,0,5,6,5.3,16,D,0,0,0,0,59,6,1,hiD,mid2A,hiA,mid2A
2024/06/28 17:48:07,5859-55,"瞬き(生音)","back number",89.655,88.760,0.895,59,405,83,75,62,96,89,76,20,1,0,8,6,9.4,27,D,0,0,0,0,66,44,0,hiC,mid1F,mid2D,mid1F
2024/06/28 17:54:03,5859-55,"瞬き(生音)","back number",91.352,90.417,0.935,63,415,85,79,65,97,89,81,24,6,0,8,6,9.3,32,G,0,0,0,0,68,34,2,hiD,mid1G,mid2D,mid1G
2024/06/28 18:05:24,7039-64,"いつか","Saucy Dog",87.154,86.274,0.880,58,406,77,75,65,99,90,84,17,6,0,7,7,2.0,4,B-1,0,0,0,0,60,25,0,hiE,mid1D,hiB,mid1D
2024/06/28 18:38:10,5941-53,"Friend Ship","星野 源",88.544,87.639,0.905,60,355,85,34,64,99,73,81,29,4,1,3,5,7.3,26,D,0,0,0,0,63,15,-2,mid2G,mid1C,mid2G,mid1C
2024/06/28 18:43:12,5941-40,"SUN","星野 源",85.819,84.957,0.862,56,391,78,73,61,98,81,81,41,5,0,7,4,3.4,16,D,0,0,0,0,58,15,-2,mid2G,mid1C#,mid2G,mid1C#
2024/06/28 18:47:59,5941-22,"地獄でなぜ悪い","星野 源",87.088,86.235,0.853,55,379,81,61,64,97,76,93,16,4,0,5,4,2.7,9,D,0,0,0,0,55,3,-2,mid2F#,mid1C,mid2F#,mid1C
2024/06/28 18:52:09,5863-35,"くだらないの中に","星野 源",87.170,86.321,0.849,54,381,84,73,57,87,80,73,13,7,0,6,4,4.2,17,B-1,0,0,0,0,56,17,-2,mid2F#,mid1C#,mid2F#,mid1C#
2024/06/28 18:57:00,5941-25,"Crazy Crazy","星野 源",88.381,87.525,0.856,55,397,82,71,60,98,86,78,20,5,3,7,5,5.6,16,A-1,0,0,0,0,56,8,-2,mid2F#,mid1B,mid2F#,mid1B
2024/06/28 19:29:45,5860-25,"わたがし","back number",84.640,83.776,0.864,56,377,76,54,66,99,82,98,17,13,0,5,6,4.9,15,D,0,0,0,0,59,17,-2,hiA#,mid1D,hiA#,mid1D
2024/06/28 19:35:53,5477-81,"マジで感謝!(アニメオープニングVer.)","T-Pistonz+KMC",87.357,86.547,0.810,51,400,81,80,58,99,82,84,1,1,0,9,0,1.3,5,B-1,0,0,0,0,51,3,0,hiB,mid2A,hiB,mid2A
2024/06/28 19:39:50,5477-51,"つながリーヨ(アニメバージョン)","T-Pistonz+KMC",87.567,86.726,0.841,54,404,79,76,63,98,88,94,12,2,2,8,6,7.1,20,A-1,0,0,0,0,55,16,0,hiC,mid1G,hiC,mid1G
2024/07/11 15:29:57,5862-32,"アイラブユー(生音)","back number",80.831,80.004,0.827,52,385,71,79,57,96,82,76,16,0,0,6,5,1.7,7,A-1,0,0,0,0,55,25,-2,mid2G#,lowF#,mid2G#,lowG#
2024/07/11 15:34:42,5862-32,"アイラブユー(生音)","back number",82.377,81.542,0.835,53,384,73,70,65,96,80,93,16,0,1,5,5,6.1,17,D,0,0,0,0,58,51,-3,mid2G,lowF,mid2G,mid1A#
2024/07/11 15:41:01,5862-24,"黄色(生音)","back number",83.168,82.252,0.916,61,351,76,45,64,96,70,83,52,3,0,3,5,7.0,23,A-1,0,0,0,0,67,31,0,hiB,mid1D,hiA,mid1D
2024/07/11 16:07:29,1329-28,"恋だろ(生音)","wacci",87.510,86.690,0.820,52,395,80,72,60,98,85,83,16,0,0,8,4,3.1,13,G,0,0,0,0,54,21,0,mid2F#,mid1B,mid2E,mid1B
2024/07/11 16:18:55,1329-28,"恋だろ(生音)","wacci",89.847,89.018,0.829,52,398,83,66,63,97,89,87,21,1,0,9,5,3.6,12,E,0,0,0,0,59,47,0,mid2F#,mid1B,mid2E,mid1B
2024/07/11 16:26:24,1329-28,"恋だろ(生音)","wacci",87.216,86.368,0.848,54,382,81,65,62,97,77,87,20,0,0,6,4,2.1,7,E,0,0,0,0,56,9,0,mid2F#,mid1B,mid2F#,mid1B
2024/07/11 16:40:14,5941-53,"Friend Ship","星野 源",88.847,88.026,0.821,52,389,85,65,57,99,83,77,21,2,0,6,5,4.4,14,D,0,0,0,0,54,30,-2,mid2G,mid1C,mid2G,mid1C
2024/07/11 16:46:07,5859-50,"恋 (プロオケ)(生音)","back number",89.470,88.579,0.891,59,404,83,75,65,96,85,90,33,2,0,8,5,4.0,13,E,0,0,0,0,62,20,0,mid2F#,mid1E,mid2F#,mid1E
2024/07/11 17:09:58,5941-66,"恋","星野 源",87.285,86.376,0.909,60,398,80,82,62,98,76,77,30,2,2,8,0,1.6,6,A-1,0,0,0,0,62,16,-2,mid2G,mid1D,mid2G,mid1D
2024/07/11 17:17:06,5859-10,"アップルパイ","back number",81.756,80.939,0.817,51,309,75,68,56,99,11,77,12,1,1,1,0,1.1,2,A-1,0,0,0,0,51,0,-2,hiC,mid1E,hiA#,mid1E
2024/07/11 17:21:04,5862-24,"黄色(生音)","back number",85.789,84.852,0.937,63,380,78,63,65,96,78,86,49,4,1,5,5,3.9,10,A-1,0,0,0,0,65,10,-1,hiA#,mid1C#,hiA#,mid1C#
2024/07/11 17:30:05,5859-22,"クリスマスソング(生音)","back number",78.278,77.448,0.830,53,342,73,62,57,86,64,82,5,0,0,7,0,0.7,1,A-1,0,0,0,0,53,0,-1,hiC,mid1A#,mid2G#,mid1D#
2024/07/11 17:35:51,6285-81,"感情(生音)","wacci",87.992,87.108,0.884,58,402,82,78,59,99,84,68,30,4,1,6,6,3.8,12,A-1,0,0,0,0,60,23,-2,mid2E,mid1B,mid2E,mid1B
2024/07/11 17:44:37,1104-68,"シグナル(生音)","WANIMA",90.762,89.889,0.873,57,413,85,82,63,99,84,86,17,3,0,8,4,3.3,11,A-1,0,0,0,0,58,6,0,hiC#,mid1G#,hiA#,mid1G#
2024/07/11 17:52:47,5862-31,"アイラブユー","back number",84.101,83.249,0.852,55,399,74,76,66,99,84,99,12,3,0,7,5,3.4,12,G,0,0,0,0,56,20,0,hiA#,lowG#,hiA#,lowG#
